행정구,읍면동,인구(명),면적(㎢),세대수,통,리,반
대구,소계,2357052,1499.49,1108762,3554,516,26532
중구,소계,99598,7.06,49716,204,,1318
중구,동인동,10157,0.99,5948,27,,167
중구,삼덕동,7290,0.64,4447,14,,89
중구,성내1동,5083,0.9,3736,17,,105
중구,성내2동,8323,0.76,4731,17,,127
중구,성내3동,13391,0.79,5754,21,,135
중구,대신동,7357,0.52,3276,17,,99
중구,남산1동,5099,0.39,2778,11,,77
중구,남산2동,7164,0.38,3348,12,,82
중구,남산3동,5963,0.4,2714,13,,80
중구,남산4동,16189,0.45,6919,26,,174
중구,대봉1동,7702,0.59,3506,18,,112
중구,대봉2동,5880,0.25,2559,11,,71
동구,소계,340568,182.11,165418,478,,2647
동구,신암1동,10978,0.6,5421,19,,104
동구,신암2동,11642,0.38,5215,13,,80
동구,신암3동,11307,0.6,5056,16,,87
동구,신암4동,18364,1.16,9522,22,,144
동구,신암5동,7437,0.51,3762,11,,69
동구,신천1·2동,11308,0.48,5814,16,,92
동구,신천3동,14236,0.7,6389,16,,99
동구,신천4동,10725,0.78,6299,14,,81
동구,효목1동,11738,1.37,6484,21,,130
동구,효목2동,14030,0.72,7029,20,,114
동구,도평동,3546,20.73,2002,11,,58
동구,불로봉무동,19679,7.78,8561,23,,136
동구,지저동,12759,2.17,6589,17,,119
동구,동촌동,14203,3.81,7531,18,,99
동구,방촌동,17067,1.26,8080,22,,132
동구,해안동,13415,13.3,6820,24,,113
동구,안심1동,37824,3.3,19197,50,,301
동구,안심2동,16775,13.63,7654,25,,120
동구,안심3동,20026,6.1,8465,21,,122
동구,안심4동,26647,2.53,11726,30,,173
동구,혁신동,16820,16.41,8252,23,,111
동구,공산동,20042,83.79,9550,46,,163
서구,소계,161058,17.32,83700,334,,2337
서구,내당1동,9338,0.47,4686,18,,119
서구,내당2·3동,8123,0.65,4536,20,,146
서구,내당4동,14380,0.75,7615,30,,179
서구,비산1동,8092,0.64,4481,19,,139
서구,비산2·3동,7855,0.49,4628,22,,160
서구,비산4동,8564,0.39,4425,18,,135
서구,비산5동,5014,0.28,3014,14,,102
서구,비산6동,6543,0.27,3547,13,,99
서구,비산7동,8288,2.74,4904,23,,170
서구,평리1동,6449,0.39,3591,16,,110
서구,평리2동,7087,0.29,3405,12,,87
서구,평리3동,12370,0.77,6226,24,,166
서구,평리4동,15577,0.73,7986,27,,184
서구,평리5동,10267,0.42,4301,13,,87
서구,평리6동,5427,0.73,2697,15,,101
서구,상중이동,17472,6.71,8344,30,,209
서구,원대동,10212,0.6,5314,20,,144
남구,소계,136559,17.43,75650,339,,2064
서구,이천동,14355,1.09,6869,30,,184
서구,봉덕1동,7953,0.49,4796,20,,125
서구,봉덕2동,13068,3.06,5891,30,,178
서구,봉덕3동,14409,2.69,7685,32,,191
서구,대명1동,9511,0.45,5328,20,,121
서구,대명2동,11667,0.83,7117,30,,184
서구,대명3동,9374,0.94,5811,34,,202
서구,대명4동,9421,0.71,5451,30,,183
서구,대명5동,7355,0.92,4034,22,,134
서구,대명6동,10574,1.5,5769,22,,135
서구,대명9동,13383,3.38,7765,28,,171
서구,대명10동,8116,0.5,4809,20,,123
서구,대명11동,7373,0.87,4325,21,,133
북구,소계,411316,93.95,192482,750,,4555
북구,고성동,13009,0.53,5549,23,,120
북구,칠성동,22583,1.33,10515,41,,269
북구,침산1동,3532,1.24,1899,18,,87
북구,침산2동,17915,0.99,7115,26,,164
북구,침산3동,18036,1.07,7353,29,,188
북구,노원동,7712,0.91,4737,27,,159
북구,산격1동,9663,2.29,4565,21,,142
북구,산격2동,8209,0.8,5790,24,,127
북구,산격3동,7207,0.74,4122,21,,126
북구,산격4동,6962,0.39,5056,15,,79
북구,복현1동,29093,1.86,12680,38,,266
북구,복현2동,15721,1.22,8672,32,,198
북구,대현동,5621,3.81,3050,16,,95
북구,검단동,33279,23.25,14786,56,,300
북구,무태조야동,32719,14.63,13954,58,,298
북구,관문동,21313,2.7,10914,32,,204
북구,태전1동,22081,1.71,10389,37,,242
북구,태전2동,31154,4.41,13027,43,,299
북구,구암동,14233,3,7019,29,,192
북구,관음동,25186,5.71,11667,43,,248
북구,읍내동,25208,1.12,10335,35,,252
북구,동천동,11139,3.05,5739,37,,196
북구,국우동,29741,17.19,13549,49,,304
수성구,소계,409536,76.54,176034,624,,4435
북구,범어1동,21318,1.08,8189,26,,209
북구,범어2동,14194,1.13,6663,22,,160
북구,범어3동,17304,0.58,6701,21,,153
북구,범어4동,18660,1.08,6413,26,,171
북구,만촌1동,20639,2.88,8619,36,,242
북구,만촌2동,12897,1.62,5686,22,,141
북구,만촌3동,21283,1.78,7748,27,,212
북구,수성1가동,17161,0.58,7288,25,,187
북구,수성2·3가동,10356,0.65,4230,18,,104
북구,수성4가동,13186,0.63,5685,22,,164
북구,황금1동,21595,2.69,7977,25,,219
북구,황금2동,11307,1.16,5812,19,,109
북구,중동,14454,0.91,7058,26,,154
북구,상동,14226,1.33,7306,25,,158
북구,파동,15860,5.82,7353,24,,164
북구,두산동,14770,1.97,7503,23,,132
북구,지산1동,18979,2.64,9948,35,,229
북구,지산2동,18486,1.97,8456,25,,247
북구,범물1동,9956,5.44,5719,26,,165
북구,범물2동,15712,2.33,6489,26,,181
북구,고산1동,31451,8.79,12266,44,,337
북구,고산2동,26004,24.47,10684,40,,289
북구,고산3동,29738,5.01,12241,41,,308
달서구,소계,520077,62.37,238540,825,,5782
달서구,성당동,20585,1.99,10156,44,,287
달서구,두류1·2동,15690,1.33,9084,34,,224
달서구,두류3동,8980,1.12,4598,18,,107
달서구,본리동,22586,1.09,9566,33,,215
달서구,감삼동,30766,1.18,13434,47,,329
달서구,죽전동,14436,0.74,7618,28,,178
달서구,장기동,15569,3.11,7041,22,,183
달서구,용산1동,28582,1.29,12521,41,,299
달서구,용산2동,25397,1.32,11196,33,,275
달서구,이곡1동,20195,1.82,8940,29,,235
달서구,이곡2동,14468,2.04,6864,25,,216
달서구,신당동,28388,9.35,17178,53,,365
달서구,월성1동,39795,2.18,13291,43,,305
달서구,월성2동,13808,6.3,7965,34,,220
달서구,진천동,49917,5.11,21498,67,,456
달서구,유천동,33200,1.25,10995,29,,188
달서구,상인1동,32762,1.39,12853,51,,373
달서구,상인2동,17235,0.9,8773,37,,228
달서구,상인3동,9754,3.68,5967,21,,125
달서구,도원동,31717,10.65,13671,43,,363
달서구,송현1동,16363,2.46,9379,33,,210
달서구,송현2동,18176,0.97,9726,37,,248
달서구,본동,11713,1.1,6226,23,,153
달성군,소계,255946,428.37,113784,,334,2890
달성군,화원읍,46054,27.68,20265,,51,561
달성군,논공읍,15355,43.89,8238,,33,191
달성군,다사읍,90046,36.68,36104,,66,851
달성군,유가읍,31155,57.25,12256,,37,341
달성군,옥포읍,22817,48.93,10719,,27,324
달성군,현풍읍,21434,24.57,11721,,37,245
달성군,가창면,6937,111.33,3556,,28,123
달성군,하빈면,3236,38.2,1920,,21,62
달성군,구지면,18912,39.84,9005,,34,192
군위군,소계,22394,614.34,13438,,182,504
군위군,군위읍,7800,84.07,4239,,34,113
군위군,소보면,2245,101.35,1425,,26,63
군위군,효령면,3612,98.43,2186,,32,72
군위군,부계면,2048,64.81,1264,,15,43
군위군,우보면,1962,59.83,1265,,19,58
군위군,의흥면,2236,54.26,1410,,24,67
군위군,산성면,1197,36.99,785,,14,43
군위군,삼국유사면,1294,114.6,864,,18,45
